题目	选项1	选项2	选项3	选项4	选项5	选项6	答案
第一次国共合作的政治基础是（  ）。	A.新三民主义	B.新民主主义	C.社会主义	D.三民主义
参与斗殴、未造成人员伤害者，视情节轻重给予（   ）以上处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
宿舍内不得储藏或使用易燃、易爆、有毒和强腐蚀性物品，不得使用明火、不得使用或保管违规电器、不得违规使用电器，不得私拉电线，盗用公共用电，违者给予（   ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
酗酒（醉酒）造成不良影响者，给予（   ）处分。	A.记过	B.留校察看	C.开除学籍	D.警告
故意损坏公物，不思悔改者，给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.警告
组织、成立、加入非法社会团体或组织，从事非法活动的，视其情节轻重，给予（  ）以上处分。	A.严重警告	B.记过	C.留校察看	D.警告
虽未动手打人，但用言语侮辱或以其它方式触犯他人，或以“劝架”“帮忙”为名偏袒一方，引起事端或激化矛盾，造成打架后果者，给予（   ）以上处分。参与斗殴，未造成人员伤害者，视情节轻重给予（   ）以上处分；斗殴致人  轻伤，所有参与斗殴者一律给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
侵害其他个人、组织合法权益，视其情节轻重及后果，可以给予（   ）处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
触犯国家法律，构成刑事犯罪，免于刑事处罚的，给予（   ）以上处分；被处以刑事处罚者，给予（   ）处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
学位授予单位的学位评定委员会由（     ）人组成。	A.20	B.9-25	C.25-30	D.9
常规硕士学位论文送审工作由各学院负责组织进行。各学院学位论文的送审采取（    ） 方式。	A.导师评审	B.盲审	C.双盲评审	D.学院评审
一般校级公共课程选修人数不满 __ 人的暂停开课。	A.10	B.15	C.20	D.5
学位申请人须在答辩前 __ 天把学位论文送交每位答辩委员会成员审阅。	A.4	B.5	C.6	D.3
下列情况表述正确的是：（  ）。	A.研究生课程学习缺勤时间超过课程总学时的三分之一者，取消其考试资格	B.未办理选课手续的研究生，不能参加该课程的考试	C.考生出于特殊原因不能按时参加考试者，可以由他人代为请假。	D.任课老师掌握研究生出勤情况，如确认研究生无故缺勤2课时以上，任课老师有权扣其期中成绩的10%
硕士学位论文抽检遵循哪些原则：（    ）。	A.重点抽查	B.均衡比例	C.科学公正	D.随机抽取
下列关于研究生离校创业表述正确的是：（   ）。	A.有离校创业需求的研究生，需在每学期开学前两周提出申请	B.离校创业研究生应定期向所在学院汇报创业进展情况	C.离校研究生在申请离校期满后两周内须按时返校，否则视为自动退学	D.研究生在校期间因创新创业需要，可申请保留学籍，但不能多次申请。
研究生参加学术活动：（  ）。	A.研究生每次参加学术活动结束后，应写出不少于250-500字的学术活动内容摘要	B.研究生学术报告的内容应体现前沿性、新颖性或交叉性，报告应提前一周贴出告示并经导师审查	C.未达要求者，不能获得规定学分	D.是我校研究生培养的一个选修环节
研究生在规定学习年限内未能通过学位论文送审或答辩的，取消学籍。研究生学习年限的两个截止日期分别为当年的：（    ）	A.5月31日	B.6月30日	C.7月31日	D.3月31日
对研究生选课表述正确的是 ：（   ）	A.课程若未开课，允许学生通过申请更改个人培养计划，即删除课程	B.研究生个人培养计划中的课程变更累计超过两门（含两门），则会纳入培养质量跟踪对象	C.变更课程不需要经过导师、学院和研究生院逐级审批。	D.研究生修读的课程一旦开课，若成绩不及格，不得退选，必须重修直至获得该课程学分
毕业生研究生，有以下哪些情况之一者，不得授予硕士学位：（    ）。	A.全日制硕士生学位课程第一次考核不合格累计5学分以上（含5学分），或累计8学分以上（含8学分）课程（含选修课）第一次考核不合格	B.研究生的学位论文未达到硕士学位学术水平，论文答辩委员会作出不授予硕士学位的决议者	C.超过学习年限者	D.研究生课程学习未达到规定的学分数或研究生课程考核成绩不合格者
学位申请人应达到下述学位水平：（    ）	A.学术型硕士在本门学科上掌握坚实的基础理论和系统的专业知识，具有从事科学研究、教学工作或独立担负专业技术的工作能力	B.专业学位硕士具有所从事专业领域扎实理论基础和较为宽广的专业知识能力，良好的职业素质修养：了解本专业的国内外现状和发展方向，具有较强的解决实际问题的能力	C.能比较熟练地运用一种外国语阅读本专业的外文资料和写作论文摘要	D.掌握马克思主义的基本理论
福州大学的办学理念是： （   ）。	A.科学与人文并重,个性与规范共存、基础与创新融通	B.走创业型强校之路	C.教育以服务为中心、服务以学生为中心、服务以学习为中心	D.质量求生存,特色谋发展
福州大学在USNews2020世界最佳大学排行榜位居内地高校第    名。	A.40	B.50	C.60	D.30
福州大学的校训是：	A.明德至诚，博学远志	B.自强不息，止于至善	C.自强不息，独树一帜	D.厚德博学，止于至善
2022年（）月，福州大学加入福建省高校马克思主义理论科学联盟。	A.3	B.9	C.5	D.8
（）年6月，福州大学入选教育部首批“卓越工程师教育培养计划”试点高校。	A.2018	B.2020	C.2010	D.2015
1922年召开的中共二大第一次明确提出了（  ）。	A.土地革命总路线	B.实现共产主义的最高纲领	C.反帝反封建的民主革命纲领	D.新民主主义革命总路线
十九届五中全会深入分析了我国发展环境面临的深刻复杂变化，全会指出，当今世界正经历百年未有之大变局，新一轮_______深入发展，国际力量对比深刻调整，和平与发展仍然是时代主题，人类命运共同体理念深入人心，同时国际环境日趋复杂，不稳定性不确定性明显增加。	A.科技革命和产业变革	B.产业变革	C.电子科技革命	D.科技革命
中国共产党第十九届中央委员会第五次全体会议，于2020年10月26日至29日在北京举行，全会指出，要协调推进全面_______、全面深化改革、全面依法治国、全面从严治党的战略布局。	A.建设社会主义现代化国家	B.建设社会主义新城镇	C.建设社会主义新中国	D.建设社会主义新农村
新中国第一颗人造地球卫星的成功发射是在（  ）。	A.1966年10月	B.1967年4月	C.1970年4月	D.1964年10月
面对疫情带来的情绪压力，可以使用（   ）等多种情绪应对的方法。	A.试着合理地宣泄情绪	B.寻找亲朋好友的支持	C.自己感觉累了的时候自己承受	D.接纳自己的情绪变化
前往医疗机构就医就诊时，应注意：（   ）。	A.出门先自测体温，若出现发热等症状就医时应佩戴口罩，避免与其他人员接触，进入医疗机构后前往发热门诊就诊。	B.做好手卫生，尽量避免触摸门把手、挂号机、取款机等物体表面，接触后及时洗手或用速干手消毒剂揉搓双手。	C.候诊和排队时，与他人保持1米以上间距。尽量选择楼梯步行，若乘坐厢式电梯，应分散乘梯，避免同梯人员过多过密。	D.返回后，用洗手液(或肥皂)流水洗手或直接用速干手消毒剂揉搓双手，更换外衣并尽快清洗。	E.备好口罩、消毒湿纸巾或免洗洗手液。
下列关于新型冠状病毒说法正确的是（  ）。	A.带毛领或者绒线的衣物容易吸附新型冠状病毒	B.紫外线消毒灯可以杀灭新型冠状病毒	C.挂烫机可杀灭衣物上的新型冠状病毒	D.双黄连可以预防新型冠状病毒
如果怀疑自己感染了新型冠状病毒，该怎么办（   ）？	A.赶紧逃离至其他“无病毒”区	B.主动佩戴口罩到就近指定医院就医并向学院老师汇报情况	C.拒绝就医忍一忍就好了	D.继续带病坚持上学
关于咳嗽和打喷嚏时的注意事项，以下说法不正确的是（   ）？	A.咳嗽和打喷嚏时应用双手遮掩口鼻	B.把打喷嚏用过的纸巾放入有盖垃圾桶	C.打喷嚏和咳嗽后最好彻底清洁双手	D.打喷嚏时应用纸巾或胳膊肘遮掩口鼻
新型冠状病毒感染的肺炎起病以（   ）为主要表现，可合并轻度干咳、乏力、呼吸不畅、腹泻等症状，流涕、咳痰等症状少见。	A.咽痛	B.鼻塞	C.腹痛	D.发热
选择正规厂家生产的（       ）口罩，或（       ）医用防护口罩。	A.一次性医用口罩	B.医用外科口罩	C.N95防护口罩	D.纸质口罩
学生应按照学校要求按时如实登记、填报个人健康信息和动态。不按规定测量体温并报告自身健康状况，或故意不报、瞒报、错报、漏报个人相关信息的，给予	A.留校察看	B.劝退	C.开除学籍	D.警告直至开除学籍处分。
未经批准，随便调换、私自占用学生宿舍或出租床位，经批评教育不改者，给予（   ）以上处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
扰乱课堂秩序、干扰教师正常授课者，给予（   ）以上处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
冒名代替他人考试、由他人冒名代替参加考试的，给予（   ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
泄漏国家秘密，造成后果，视其情节轻重，给予（   ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
一学期累计旷课达 （   ） 学时者，给予警告处分；达 （   ） 学时者，给予严重警告处分。	A.5;20	B.10;20	C.20;30	D.5;10
高等学校是学术不端行为预防与处理的主体。高等学校应当建设集（          ）于一体的学术诚信体系，建立由主要负责人领导的学风建设工作机制，明确职责分工。	A.预防	B.监督	C.惩治	D.教育
研究生一旦被认定存在学术造假行为或学术不端行为，视情节分别做（       ）和撤销已授学位的处理。	A.暂缓学位授予	B.取消毕业资格和学位申请资格	C.注销毕业证书	D.暂缓毕业
学生不得有酗酒、打架斗殴、赌博、吸毒，传播、复制、贩卖非法书刊和音像制品等违法行为；不得参与（            ）；不得从事或者参与有损大学生形象、有悖社会公序良俗的活动。	A.封建迷信活动	B.论坛讲座	C.邪教活动
考虑到我校房源的实际情况，原则上学院学生住宿采取“（     ）”的办法安排床位。	A.小集中小分散	B.小集中大分散	C.大集中小分散	D.大集中大分散
组织学生会餐活动应本着勤俭节约、避免浪费的原则，禁止学生在校园内外醉酒、酗酒。学院组织毕业班学生会餐应报学院院长或书记审批，会餐应在（     ）前结束， 毕业会餐一律不得饮用较高度数酒，饮用啤酒和其它饮料应少量、适度，确保会餐活动的 安全。	A.21:45	B.22:00	C.23:00	D.21:00
住校学生的思想教育与日常管理工作由学校（         ）等负责。	A.宿舍管理部门	B.保卫部门	C.各学院	D.学生工作部门
学生要保持宿舍周围环境整洁，爱护公物，（          ）：	A.不得在墙上随意涂画和张贴	B.严禁踢门、撞门等破坏公物行为	C.严禁宿舍楼内停放自行车，自行车必须有序地停放在指定地点	D.严禁向窗外摔瓶子、泼水、扔杂物等
被认定为存在（     ）行为的研究生，情节严重者给予留校察看处分，但认识态度端正者给予记过处分；情节较轻、未造成影响者，视情况给予严重警告或警告处分或批评教育等。	A.学术造假	B.抄袭	C.一稿多投	D.学术不端
学生团体应当在宪法、法律、法规和学校管理制度范围内活动，接受学校的领导和管理。学生团体邀请校外组织、人员到校举办讲座等活动，需经学校（     ）。	A.考察	B.调查	C.垂询	D.批准
学生复查中发现学生存在弄虚作假、徇私舞弊等情形的，确定为复查不合格，应当取消（     ）；情节严重的，学校应当移交有关部门调查处理。	A.学籍	B.报到	C.学业	D.入学资格
学校要坚持以立德树人为根本，以理想信念教育为核心，培育和践行社会主义核心价值观，弘扬中华优秀传统文化和革命文化、社会主义先进文化，培养学生的（     ）、 创新精神和实践能力。	A.使命感	B.进取心	C.爱国情怀	D.社会责任感
学校要坚持以立德树人为根本，以理想信念教育为核心，培育和践行社会主义核心价值观，弘扬中华优秀传统文化和革命文化、（         ）文化，培养学生的社会责任感、 创新精神和实践能力。	A.社会主义先进	B.全面发展	C.爱国主义	D.共产主义
未经批准，擅自留宿非本宿舍成员，经批评教育不改者，给予（   ）处分。留宿  异性或在异性宿舍内住宿的，视情节给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
学生寻衅滋事、打架斗殴，有下列情形之一的，视其情节轻重给予警告以上处分：（     ）	A.致人轻微伤者。	B.致人轻伤者。	C.致人重伤者。	D.虽未动手打人，但用言语侮辱或以其它方式触犯他人，或以“劝架”“帮忙”为名偏袒一方，引起事端或激化矛盾，造成打架后果者。	E.挑起事端或动手打人者。
学生有下列行为之一，认定为考试违规，并视其情节轻重，给予警告处分：（     ）	A.未在规定的座位参加考试的。	B.考试开始信号发出前答题或者考试结束信号发出后继续答题的。	C.未经监考人员同意在考试过程中擅自离开考场的。	D.在考场或者学校禁止的范围内，喧哗、吸烟或者实施其它影响考场秩序行为的。	E.携带规定以外的物品进入考场，未按监考人员要求放在指定位置的。
学生违法违纪后，有下列情形之一的，可以从轻或者减轻处分：（    ）	A.主动挽回损失或者有效阻止危害结果发生的	B.主动退出违法违纪所得的	C.有立功表现的	D.主动交代本人违法违纪问题，有明显的悔改表现的
酗酒（醉酒）造成不良影响者，给予（   ）处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
吸毒、贩毒者，给予（   ）处分。	A.记过	B.留校察看	C.开除学籍	D.警告
弄虚作假，骗取学校奖助贷减免款或各种荣誉者，视其情节轻重及后果，给予 （   ）及以上处分，已发放的奖学金、助学金、国家助学贷款及有关证书悉数收回。	A.严重警告	B.记过	C.留校察看	D.警告
受到治安管理处罚，情节严重、性质恶劣的，给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.警告
下面各项可给予予警告至记过处分的是 （     ）。	A.扰乱校园秩序、影响他人正常学习生活者。	B.扰乱、破坏学校组织或经学校批准的群体性活动者。	C.故意损毁或涂改学校有效公告者。	D.在学生宿舍及其它禁烟区吸烟者，给予批评教育；经批评教育不改者。
在校内组织、参与宗教活动，经告诫不改的，视情节轻重，给予（   ）以上处分。组织传销、参与邪教、极端宗教主义活动，给予（   ）以上处分。	A.警告	B.严重警告	C.记过	D.留校察看	E.开除学籍	F.通报批评
研究生培养单位要加强培养关键环节质量监控，对不适合继续攻读学位的研究生要及早（   ）。	A.休学	B.退学	C.结业	D.分流
2、5年和3年学制全日制硕士研究生的学位论文开题报告应在（    ）前完成。	A.第三学期的第五周	B.第三学期的第十周	C.第四学期的第十周	D.第二学期的第八周
全日制硕士生学位课程第一次考核不合格累计 __ ，不得授予硕士学位。	A.4学分及以上	B.5学分及以上	C.6学分及以上	D.3学分及以上
选定修读课程后无故不参加考试者，课程成绩记 __ 。	A.“无效”	B.“缺考”	C.“不合格”	D.“0”分
院管课程选修人数不满 __ 人的，一般不以公开讲授为主的授课方式开设。	A.10	B.15	C.20	D.5
学术不端行为预防和处理的主体是 __ 。	A.导师	B.高等学校	C.教育机构	D.学生
由他人代写、为他人代写学位论文或论文的主要章节，或者组织学位论文代写的，属于以下哪一行为  __  。	A.学术造假	B.学术篡改	C.学术更改	D.学术不端
下列哪些属于研究生学术活动：（    ）	A.参加前沿讲座	B.参加专题讨论班	C.参加学术研讨会	D.作学术报告
以下对研究生涉嫌学术造假行为或学术不端行为的受理、查实与认定表述正确的是：（    ）	A.我校对研究生提交的学位论文、毕业论文，以及发表的学术论文、报告、设计等进行不定期抽查	B.接到检举或抽查发现存在学术造假行为或学术不端行为的嫌疑时，有关学院应在2周内组成不少于3人的调查小组	C.涉嫌学术造假行为或学术不端行为的研究生可以通过提供书面意见和证据的方式进行申辩说明，但不得妨碍所在学校调查小组和学位评定委员会的具体查实行动	D.研究生院常年开设检举信箱，接受社会对研究生造假行为或学术不端行为的检举
研究生有下列哪些情形之一的，予以退学：（    ）	A.按学校规定的注册期限，逾期两周未注册而又未履行暂缓注册手续的	B.学校经过阶段性考核认为不宜继续培养或学位论文工作中明显表现出科研能力差的	C.休学、保留学籍期满，在学校规定期限内未提出复学申请或者申请复学经复查不合格的	D.未经批准连续两周未参加学校规定的教学活动的
（）年（）月，福州大学进入国家“211工程”高校行列。	A.1995 12	B.1996 11	C.1997 12	D.1982 7
“福州大学的三种精神指:以张孤梅同志等为代表的老一辈艰苦奋斗的（）精神;以卢嘉锡先生为代表的严谨求实的（）精神;以魏可镁院士为代表的勇于拼搏的（）精神。	A.创业、治学、奉献	B.奋斗、拼搏、嘉锡	C.拼搏、奋斗、嘉锡	D.奋斗、嘉锡、拼搏
福州大学校歌于（）年60周年校庆前夕正式发布。	A.2018	B.2019	C.2020	D.2017
2022年（）月，福州大学入选第二轮 “双一流”高校名单。	A.3	B.2	C.5	D.8
截至2022年2月，福州大学拥有（）个一级学科硕士点。	A.36	B.34	C.35	D.38
标志着中国共产党独立领导革命战争、创建人民军队的开端是（  ）。	A.秋收起义	B.广州起义	C.百色起义	D.南昌起义
十九届五中全会提出了到_______年基本实现社会主义现代化远景目标。	A.二〇三五	B.二〇三〇	C.二〇五〇	D.二〇四五
十九届五中全会提出，要提升产业链供应链现代化水平，发展战略性新兴产业，加快发展现代服务业，统筹推进基础设施建设，加快建设交通强国，推进_______，加快数字化发展。	A.能源革命	B.科技革命	C.基建革命	D.信息革命
毛泽东在《论十大关系》中提出处理共产党和民主党派关系的方针是（  ）。	A.肝胆相照	B.互相监督	C.荣辱与共	D.长期共存
作为改革开放的一个标志性事件，1978年5月11日，《光明日报》刊登题为（    ）的特约评论员文章。	A.论十大关系	B.反对本本主义	C.关于正确处理人民内部矛盾的问题	D.实践是检验真理的唯一标准
下列（ ）情况不属于密切接触者。	A.诊疗、护理、探视病例时采取了有效的防护措施的医护人员	B.病例同病室的其他患者及其陪护人员	C.与病例乘坐同一交通工具并有近距离接触人员	D.与病例共同居住、学习、工作的人员
在宿舍中怎样预防新型冠状病毒感染（    ）？	A.早睡早起、不熬夜，提高自身免疫力	B.保持良好的个人卫生习惯	C.坚持安全的饮食习惯，食用肉类和蛋类要煮熟、煮透	D.密闭门窗，不出门
关于远途注意事项，以下行为不正确的是（   ）？	A.摘口罩时，不要触碰到口罩的外表面	B.用过的口罩，直接放入包里或兜里	C.勤洗手，不乱摸，保持手部的清洁	D.尽量不在旅途中摘下口罩吃喝
钥匙、手机如何消毒（   ）？	A.使用含酒精的医用速干免洗手消毒液喷雾后擦拭	B.用医用消毒纸巾直接擦拭	C.用84消毒液涂抹	D.可用75%的酒精喷雾
学生应按照学校要求开展学习活动，遵守课堂纪律， 服从教师管理。对（）影响成绩评定、扰乱教学秩序等行为的，给予警告直至开除学籍处分。	A.迟到	B.早退	C.代刷网课	D.旷课
学生返校时间以学校通知为准，应在规定的时间返校，任何学生不得擅自提前返校。有以下哪种行为的，视情节轻重给予警告直至开除学籍处分。( )	A.擅自提前返校且隐瞒不报的；	B.在返校途中，不遵守所在地、途经地疫情防控相关要求的；	C.伪造或提供疫情防控虚假证明的	D.未经批准擅自提前返校的
受到治安管理处罚，情节严重、性质恶劣的，视其情节轻重，给予（  ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
在学生宿舍内饲养宠物，经劝阻无效者，给予（   ）处分。	A.记过	B.留校察看	C.开除学籍	D.警告
以在校学生身份，从事裸贷、参与高利贷等行为，对学校或他人造成不良影  响的，视其情节轻重及后果，给予（   ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
以各种形式散布，传播反动言论，虚假信息或有害信息，制造混乱，造成不良影响及后果的，视其情节轻重，给予（  ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
学生有下列情形之一，学校可予退学处理（         ）。	A.休学、保留学籍期满，在学校规定期限内未提出复学申请或者申请复学经复查不合格的	B.根据学校指定医院诊断，患有疾病或者意外伤残不能继续在校学习的	C.未经批准连续两周未参加学校规定的教学活动的	D.超过学校规定期限未注册而又未履行暂缓注册手续的	E.学业成绩未达到学校要求或者在学校规定的学习年限内未完成学业的
下面属于研究生考试全过程中禁止的行为（         ）：	A.交头接耳	B.开卷考试时，不准借用别人的书本笔记等资料	C.代考或请人代考	D.携带有存储、记忆、编程功能的电子产品
为他人代写学位论文、出售学位论文或者组织学位论文买卖、代写的人员，属于在读研究生的，给予（     ）处分；属于教师和其他工作人员的，学校给予开除处分或者解除聘任合同。	A.记过	B.留校察看	C.开除学籍	D.严重警告
学校应当按照国家有关规定，建立健全学生转学的具体办法；对转学情况应当及时进行公示，并在转学完成后（      ）个月内，由转入学校报所在地省级教育行政部门备案。	A.2	B.3	C.4	D.1
学校要坚持以立德树人为根本，以理想信念教育为核心，培育和践行社会主义核心价值观，弘扬中华优秀传统文化和革命文化、社会主义先进文化，培养学生的社会责任感、 （        ）和实践能力。	A.使命感	B.进取心	C.爱国情怀	D.创新精神
对以作弊、剽窃、抄袭等学术不端行为或者其他不正当手段获得学历证书、学位证书的对以作弊、剽窃、抄袭等学术不端行为或者其他不正当手段获得学历证书、学位证书的，学校应当依法予以	A.撤销	B.销毁	C.取消	D.剥夺
新生和在校学生应征参加中国人民解放军（含中国人民武装警察部队），学校应当保留其入学资格或者学籍至退役后 （    ）年。	A.2	B.3	C.4	D.1
扰乱社会秩序、危害校园治安和安全、侵害他人权益者，有下列情形之一的，视其情节轻重给予警告至记过处分：	A.酒后滋事者。	B.扰乱校园秩序、影响他人正常学习生活者。	C.扰乱、破坏学校组织或经学校批准的群体性活动者。	D.在学生宿舍及其它禁烟区吸烟者，经批评教育不改者。
聚众赌博或为赌博提供场所、交通工具等条件者，视情节轻重给予（   ）以上处分。	A.留校察看	B.开除学籍	C.记过
包庇偷窃者，销赃、买赃、窝赃者，视情节轻重给予与偷窃者（   ）处分。	A.轻一级	B.同级或轻一级	C.重一级	D.同级
虽未动手打人，但用言语侮辱或以其它方式触犯他人，或以“劝架”“帮忙”为名偏袒一方，引起事端或激化矛盾，造成打架后果者，给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.警告
学生有下列行为之一，认定为考试违规，并视其情节轻重，给予警告处分：（     ）。	A.未在规定的座位参加考试的。	B.考试开始信号发出前答题或者考试结束信号发出后继续答题的。	C.未经监考人员同意在考试过程中擅自离开考场的。	D.在考场或者学校禁止的范围内，喧哗、吸烟或者实施其它影响考场秩序行为的。	E.携带规定以外的物品进入考场，未按监考人员要求放在指定位置的。
学生有下列行为之一，视其情节轻重，给予记过以上处分：（    ）。	A.扰乱社会秩序或破坏学校的管理秩序，破坏安定团结的；	B.学生寻衅滋事、打架斗殴，致人轻伤的；	C.故意销毁试卷、答卷或者考试材料的；	D.未在规定的座位参加考试的	E.违反宪法，反对四项基本原则，组织、参加未经批准的游行、示威活动；
学生有下列哪些情形之一的，学校可以给予开除学籍处分：（     ）。	A.组织、成立、加入非法社会团体或组织，从事非法活动	B.张贴大字报、投递、散发反对四项基本原则的传单和言论，混淆视听，制造混乱	C.剽窃、抄袭他人研究成果，情节严重的	D.违反学校规定，严重影响学校教育教学秩序、生活秩序以及公共场所管理秩序，侵害其他个人、组织合法权益，造成严重后果的	E.住宿生未经批准，私自在校外租房住的	F.违反宪法，反对四项基本原则、破坏安定团结、扰乱社会秩序的
研究生在校期间因创新创业需要，可由本人申请暂停学业离校创业，学校为其保留学籍，每次申请保留学籍以（    ）为单位。	A.半年	B.一年	C.一年半	D.3个月
被认为存在学术造假行为的研究生，情节严重者给予（   ）处分。	A.留校察看	B.记过	C.严重警告	D.开除学籍
在学期内修读校外课程成绩认定：（    ）	A.修读前本人需提交《福州大学校外课程成绩及学分认定计划表》	B.需经导师、学位点和院学位分委会审批后，报研究生院审核，获准后方可进行修读	C.课程结束后需提供《福州大学校外课程成绩认定申请表》并提供相关材料。	D.一般需在比我校相应学科专业水平高的院校进行修读，且课程学分不低于校内相关课程的学分
对学术不端的举报，以下说法正确的是：（   ）	A.有实施学术不端行为的事实	B.有客观的证据材料或者查证线索	C.不可匿名举报	D.有明确的举报对象
研究生和研究生导师在学术活动中必须严格遵守以下哪几项基本规范：（    ）。	A.严格遵循《中华人民共和国知识产权法》、《中华人民共和国著作法》、《中华人民共和国专利法》等法律法规	B.合作研究的成果应根据合作者在研究过程中的贡献大小来分享。	C.应保密的科研成果在发表和使用时应该遵循国家相关法律、法规	D.恪守学术道德和学术规范
福州大学的校训“明德至诚，博学远志 ”中“明德”出自（）。	A.《论语》	B.《大学》	C.《孟子》	D.《中庸》
福州大学有（）个校区。	A.6	B.7	C.8	D.5
十九届五中全会提出，到2035年，基本实现我国_______、_______、_______将大幅跃升，经济总量和城乡居民人均收入将再迈上新的大台阶，关键核心技术实现重大突破，进入创新型国家前列。	A.文化实力、科技实力、综合国力	B.经济实力、科技实力、综合国力	C.人才实力、科技实力、综合国力	D.国防实力、科技实力、综合国力
下列哪种动物是新冠状病毒的常见宿主（   ）。	A.獾	B.果子狸	C.蚊子	D.蝙蝠
新型冠状病毒感染的肺炎确诊病例的确诊需满足 （   ）。	A.痰液、咽拭子、下呼吸道分泌物等标本行实时RT-PR检测新型冠状病毒核酸阳性，或病毒基因测序与已知的新型冠状病毒高度同源（核酸检测阳性）	B.出现呼吸困难	C.出现凝血功能障碍	D.符合疑似病例标准
关于就医时的事项，以下说法不正确的是（   ）？	A.主动告知医生近期的活动地点	B.主动告知医生接触过可疑或者确症病例	C.向医生隐瞒近期的活动路线和过往病史	D.出现发热咳嗽乏力等症状，应及时就医
学生应按照学校要求开展学习活动，遵守课堂纪律， 服从教师管理。对旷课、迟到、早退、代刷网课、影响成绩评定、扰乱教学秩序等行为的，给予	A.留校察看	B.劝退	C.开除学籍	D.警告直至开除学籍处分。
对违反福州大学疫情防控期间学生管理补充规定的，一律取消本学年( )评奖评优资格	A.学期	B.学校	C.学院	D.学年
故意销毁试卷、答卷或者考试材料的，给予（   ）以上处分。	A.记过	B.留校察看	C.开除学籍	D.警告
在考试中旁窥、交头接耳、打暗号或者手势的，或以其它方式为自己及他人提供方便的，给予（   ）处分。	A.严重警告	B.记过	C.留校察看	D.警告
研究生和研究生导师在学术活动中必须严格遵守严格遵守（         ）、教育部《关于严肃处理高等学校学术不端行为的通知》国务院学位委员会《关于在学位授予工作中加强学术道德和学术规范建设的意见》教育部《学位论文作假行为处理办法》等法律、法规的有关规定。	A.《中华人民共和国著作权法》	B.《中华人民共和国专利法》	C.教育部《普通高等学校学生管理规定》	D.《中华人民共和国知识产权法》
学生在校期间依法履行下列义务（           ）。	A.遵守学校章程和规章制度	B.恪守学术道德，完成规定学业	C.按规定缴纳学费及有关费用，履行获得贷学金及助学金的相应义务	D.遵守学生行为规范，尊敬师长，养成良好的思想品德和行为习惯	E.遵守宪法和法律、法规
应当增强法治观念，遵守（       ），遵守公民道德规范，遵守学校管理制度，具有良好的道德品质和行为习惯。	A.法律	B.法规	C.制度	D.宪法
学生入学后，学校应当在 3 个月内按照国家招生规定进行复查。复查内容主要包括以下方面（  ）：	A.所获得的录取资格是否真实、合乎相关规定	B.本人及身份证明与录取通知、考生档案等是否一致	C.身心健康状况是否符合报考专业或者专业类别体检要求，能否保证在校正常学习、生活	D.艺术、体育等特殊类型录取学生的专业水平是否符合录取要求	E.录取手续及程序等是否合乎国家招生规定
研究生必须按监考教师(   )入座，不听劝告者按违反考场纪律处理。	A.指定座位	B.座位号	C.交叉座位	D.随机
学校应当坚持教育与（      ）相分离原则。任何组织和个人不得在学校进行宗教活动、	A.实践	B.创新	C.管理	D.宗教
学生应当拥护中国共产党领导，努力学习马克思列宁主义、毛泽东思想、中国特色社会主义理论体系，深入学习习近平总书记系列重要讲话精神和治国理政新理念新思想新战略，坚定中国特色社会主义道路自信、理论自信、制度自信、文化自信，树立（       ）共同理想。	A.共产主义	B.马克思主义	C.中国梦	D.中国特色社会主义
学校要坚持以立德树人为根本，以理想信念教育为核心，培育和践行社会主义核心价值观，弘扬中华优秀传统文化和革命文化、社会主义先进文化，培养学生的社会责任感、 创新精神和（       ）。	A.实践能力	B.全面发展	C.爱国主义	D.共产主义
学校要坚持以立德树人为根本，以理想信念教育为核心，培育和践行社会主义核心价值观，弘扬（      ）文化和革命文化、社会主义先进文化，培养学生的社会责任感、 创新精神和实践能力。	A.中华优秀传统	B.全面发展	C.爱国主义	D.共产主义
学校应当在报到时对新生入学资格进行初步审查，审查合格的办理入学手续，予以注册学籍；审查发现新生的录取通知、考生信息等证明材料，与本人实际情况不符，或者有其他违反国家招生考试规定情形的，取消（     ）。	A.录取资格	B.入学资格	C.学籍身份	D.学籍
